canonical_smiles,pIC50
C[C@]1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)N=C(N)OC[C@@H]1F,9.4
CNC(=O)[C@]12C[C@H]1[C@@](C)(c1cc(NC(=O)c3ccc(Cl)cn3)cc(F)c1F)N=C(N)S2,9.4
Cc1ccc(-c2cc3c(c(F)n2)Oc2ccc(-c4cccnc4F)cc2[C@@]32COC(N)=N2)cn1,9.4
NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(-c2ccncc2)nc1F,9.4
C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)Cc2c(ccnc2F)C(N)=N1,9.39
CC#Cc1cncc(-c2ccc3c(c2)[C@@]2(COC(N)=N2)c2cc(-c4ccnc(F)c4)ncc2O3)c1,9.37
[C-]#[N+]c1ccc(C(=O)Nc2cccc([C@]34CN(c5ncc(F)cn5)C[C@H]3CSC(N)=N4)c2)nc1,9.35
CC#Cc1cncc(-c2ccc3c(c2)[C@@]2(COC(N)=N2)c2cc(C4=CCCOC4)ncc2O3)c1,9.34
NC1=N[C@@]2(c3cccc(NC(=O)c4cnc(CO)cn4)c3)CN(c3ncc(F)cn3)C[C@H]2CS1,9.32
COc1cc(/C=C/c2nnc(-c3ccc(F)cc3)o2)ccc1O,9.32
COc1cnc(C(=O)Nc2cccc([C@]34CN(c5ncc(F)cn5)C[C@H]3CSC(N)=N4)c2)cn1,9.32
CC(C)(C)COc1cc(F)c2c(c1)[C@]1(COCCC(N)=N1)c1cc(-c3cccnc3F)ccc1O2,9.3
CC(C)(C)COc1ccc2c(c1)[C@]1(COC(N)=N1)c1cc(-c3c(F)ccnc3F)ccc1O2,9.3
CC#Cc1cncc(-c2ccc3c(c2)[C@]2(N=C(N)N(C)C2=O)c2cc(C4=CCOCC4)cc(F)c2O3)c1,9.3
NC1=N[C@@]2(COCC1)c1cc(-c3cccnc3F)ccc1Oc1cnc(-c3ccnc(F)c3)cc12,9.3
C#CCOc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)C[C@@H](C(F)(F)F)OC(N)=N3)c2)cn1,9.3
NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1cnc(N3CC[C@@H](F)C3)cc12,9.3
NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1cnc(C3=CCCOC3)cc12,9.3
CN1C(=N)N[C@](C)(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)CS1(=O)=O,9.267606240177031
NC1=N[C@@]2(c3cc(NC(=O)c4ccc(F)cn4)ccc3F)CN(c3ncc(F)cn3)C[C@H]2CS1,9.26
CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC(C)C)cc1C21N=C(C)C(N)=N1,9.25
NC1=N[C@@]2(c3cc(NC(=O)c4cnc(CO)cn4)ccc3F)CN(c3ncc(F)cn3)C[C@H]2CS1,9.24
NC1=N[C@@]2(CO1)c1cc(-c3cncc(C#CCO)c3)ccc1Oc1cnc(C3=CCOCC3)cc12,9.24
C[C@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)O[C@H](CF)[C@@H]1F,9.24
NC1=N[C@@]2(CO1)c1cc(NC(=O)c3ccc(Cl)cn3)ccc1Oc1cnc(C3CCOCC3)cc12,9.24
CN=[S@@]1(=O)C[C@@](C)(c2cc(NC(=O)c3ncc(C#N)cc3C)ccc2F)N=C(N)N1CC(F)(F)F,9.23
CO[C@H]1CC[C@]2(CC1)Cc1ccc(-c3cc(Cl)c(F)c(C#N)c3)cc1C21N=C(C)C(N)=N1,9.23
CC#Cc1cncc(-c2ccc3c(c2)[C@@]2(N=C(C)C(N)=N2)[C@]2(CC[C@@H](OC)CC2)C3)c1,9.22
CC#CCOc1cnc(C(=O)Nc2ccc(Cl)c([C@@]3(CF)N=C(N)O[C@@H]4C[C@@H]43)c2)cn1,9.22
N#Cc1ccc(C(=O)Nc2ccc3c(c2)C2(CCOC(N)=N2)c2cc(-c4cncc(F)c4)nc(F)c2O3)nc1,9.22
